genusName,speciesName,familyName,volume,typeMonoOrDio,Biome,Elevation,seedLongevity,viability,seedBank,growth,pollinationTimeLocation1,floweringTimeLocation2,floweringDuration,reproductiveBud,pollination,mainSeedDropTime,seedDispersal,seedPredator,lifeSpanMax,reprodAge,seedDormancy,seedType,stratification,seedSize,seedWeights,bestReproductionPeriod,fruitType,oilContent,proteinContent,determinacy,modeDispersal,mastEvent,mastCycle,leafLongevity,criticalEnvironmentalCue,note,shadeTolerance,soil,climate
Carya,tomentosa,Juglandaceae,2,Monoecious,Temperate,,,,,,April to May,,,,wind,Sep to Dec,"gravity, rodents, birds",insects,300,25,Y,,cold,70-250/kg,5559.92,,,,,,,Y,2 to 3,,requires moderately moist seedbed,,intolerant,,
Castanopsis,chrysophylla,Fagaceae,2,Monoecious,Temperate,,,,,,mid-June to mid-July,,,,wind and insects,late Sep,"gravity, rodents, birds",insects,500,,,Orthodox p,,,470.04,,,,,,,Y,2 to 5,,,,intermediate,,
Cecropia,peltata,Moraceae,2,Dioecious,Tropical,,2,,,,year-round,,,,,Jan to March,birds,,30,4,,Orthodox,,,0.58,,,,,,,,,,,,intolerant,,
Cedrela,odorata,Meliaceae,2,Monoecious,Tropical,,1.2,,,,"Mexico, northern South America: May to Aug",Argentina: Sep to Oct,,,,,wind,,,,N,Orthodox,,,17.02,,,21.4,25,,,N,,,,,intolerant,,
Celtis,laevigata,Ulmaceae,2,Polygamo-monoecious,Temperate,,,,,,mid-March to May,,,,,Jan,"water, birds",,150,15,,Orthodox?,,,75.71,,,,,,,N,,,late spring frosts kill flowers,,tolerant,,
Celtis,occidentalis,Ulmaceae,2,Polygamo-monoecious,Temperate,,5.5,,,,south: early April,North: late May,,,,Dec to March,"birds, animals",,200,,,Orthodox,,,126.44,,,,,,,N,,,,,intermediate,,
Cercis,canadensis,Leguminosae,2,Monoecious,Temperate,,13,,,,March to May,,,,insects,Oct to Dec,"wind, animals",insects,75,,Y,Orthodox,mechanical and cold,,24.6,,,8.25,25.2,,,,,,winterchiling enhances flowering,,tolerant,,
Cordia,alliodora,Boraginaceae,2,Dioecious,Tropical,,0.5,,,,year-round,,,,wind and insects,April to May,,,,5,,Orthodox,,,30.77,,,,,,,,,,,,intolerant,,
Cornus,florida,Cornaceae,2,Monoecious,Temperate,,,,,,South: mid-March,North: late May,,,,,"birds, animals",,125,6,,Orthodox,,9920/kg,101.87,,,,,,,Y,,,,,tolerant,,
Dacryodes,excelsa,Burseraceae,2,Dioecious,Tropical,,0.1,,,,May and Dec,,,,,Oct to Dec,,,400,,N,,,,0.58,,,,,,,,,,,,intermediate,,
Didymopanax,morototoni,Araliaceae,2,Monoecious,Tropical,,,,,,Oct to Dec,,,,insect,,bird,,,10,,,,,14,,,,,,,N,,,,,intolerant,,
Diospyros,virginiana,Ebenaceae,2,Dioecious,Temperate,,,,,,Nov to Apr,,,,,,,,80,4 to 5,,,,,364.57,,,2.6,10,,,N,,,,,tolerant,,
Eucalyptus,globulus,Myrtaceae,2,,Temperate,,,,,,mid-Aug to late Sep,,,,,,,,400,,,Orthodox,,,37.36,,,,,,,Y,3 to 5,,,,intolerant,,
Eucalyptus,grandis,Myrtaceae,2,,Tropical to subtropical,,,,,,mid-Aug to late Sep,,,,insects,Feb to March,,,,,,Orthodox,,,1.18,,,,,,,N,,,,,intolerant,,
Eucalyptus,robusta,Myrtaceae,2,,Tropical to subtropical,,,,,,Tropical: year-round,California: Jan to March,,,insect,,wind,,>200,,,Orthodox,,,3.15,,,,,,,N,,,,,intolerant,,
Eucalyptus,saligna,Myrtaceae,2,,Subtropical,,,,,,Hawaii: Jan to Mar,California: April to June,,,insect,,wind,,200,3 to 4,,Orthodox,,,0.79,,,,,,,,,,,,intolerant,,
Fagus,grandifolia,Fagaceae,2,Monoecious,Temperate,,,,,,late April to early May,,,,,,"rodents, birds",,400,40,,Orthodox?,,3500/kg,265.74,,,,,,fall near parent tree,Y,2 to 8,,,,tolerant,,
Fraxinus,americana,Oleaceae,2,Dioecious,Temperate,,,,,,April and May,,,,wind,,wind,,250,20,Y,Orthodox,moist,,37.3,,,33.4,25.2,,fall within 140m of parent tree,N,,,,,intolerant,,
Fraxinus,latifolia,Oleaceae,2,Dioecious,Temperate,,,,,,April ot May,,,,,Sep to Oct,wind,,250,30,Y,,cold,,40.96,,,,,,,Y,3 to 5,,,,intermediate,,
Fraxinus,nigra,Oleaceae,2,Polygamous,Temperate,,,,,,May or June,,,,,July to Oct,,,150,,Y,Orthodox,warm and cold,,55.28,,,,,,,,,,,,intolerant,,
Fraxinus,pennsylvanica,Oleaceae,2,Dioecious,Temperate,,,,,,Florida: March or April,North: late April to early May,,,,Oct,"wind, water",,250,,Y,Orthodox,cold,,32.82,,,,,,,,,,,,tolerant,,
Fraxinus,profunda,Oleaceae,2,Dioecious,Temperate,,0.5,,,,April to May,,,,,Oct to Dec,"wind, water",,,10,,,,7050/kg,142.32,,,,,,,,,,,,intermediate,,
Gleditsia,triacanthos,Leguminosae,2,Polygamo-dioecious,Temperate,,,,,,late spring,,,,,Nov,animals,,125,10,,Orthodox,,6170/kg,168.58,,,2.73,22.15,,,N,,,,,intolerant,,
Gordonia,lasianthus,Theaceae,2,,Temperate to subtropical,,1.59,,,,June to mid-Aug,,,,insects,late Dec,wind,,100,,,Orthodox,,,3.51,,,,,,,,,,,,tolerant,,
Grevillea,robusta,Proteaceae,2,Monoecious,Tropical to subtropical,,2,,,,March through Oct,,,,,Nov,wind,,100,10,,Orthodox,,,20.1,,,,,,,N,,,,,intolerant,,
Halesia,carolina,Styracaceae,2,Dioecious,Temperate,,,,,,March to May,,,,,Dec,,,100,,Y,Orthodox,warm and cold,,281.52,,,,,,,N,,,,,tolerant,,
Ilex,opaca,Aquifoliaceae,2,Dioecious,Temperate,,,,,,South: April,North: June,,,insects,Dec,"birds, animals",,100,,Y,Orthodox?,cold,61730/kg,17.2,,,,,,,N,,,,,tolerant,,
Juglans,cinerea,Juglandaceae,2,Monoecious,Temperate,,5,,,,April toJune,,,,,Sep to Oct,"gravity, animals",,100,20,Y,Orthodox?,cold,,14026.39,,,,,,,Y,2 to 3,,,,intolerant,,
Juglans,nigra,Juglandaceae,2,Monoecious,Temperate,,5,,,,South: mid-April,North: early June,,,,Sep to Oct,"gravity, animals",,250,4,Y,Orthodox?,cold,,11302.54,,,55.8,,,,Y,,,,,intolerant,,
Liquidambar,styraciflua,Hamamelidaceae,2,Monoecious,Tropical to subtropical,,10,,,,March to early May,,,,,Sep to Nov,wind,,300,20,,Orthodox,,,5.01,,,,,,fall within 61m of the parent tree,N,,,,,intolerant,,
Liriodendron,tulipifera,Magnoliaceae,2,Monoecious,Temperate,,7,,,,April to June,,2-6 weeks,,insects,early Nov,,,450,,,Orthodox,,,57.18,,,,,,4-5 times the height of the tree,N,,,,,intolerant,,
Lithocarpus,densiflorus,Fagaceae,2,Monoecious,Temperate,,,,,,June to Aug,,,,,late Sep to mid-Nov,,,350,,,Recalcitrant?,,,5929.5,,,,,,,N,,,,,tolerant,,
Maclura,pomifera,Moraceae,2,Dioecious,Temperate,,3,,,,April through June,,,,,Sep to Oct,"birds, animals",,150,10,Y,Orthodox,mechanical,30900/kg,31.78,,,44.5,38.2,,,N,,,,,intolerant,,
Magnolia,acuminata,Magnoliaceae,2,Monoecious,Temperate,,,,,,April to early July,,2-4 days,,insects,,"gravity, wind, water, birds",,250,30,,,,3530/kg,88.51,,,,,,,Y,4 to 5,,,,intermediate,,
Magnolia,fraseri,Magnoliaceae,2,Monoecious,Temperate,,,,,,May to June,,,,,,,,,,,Orthodox,,10030/kg,99.84,,,,,,,Y,4 to 5,,,,intermediate,,
Magnolia,grandiflora,Magnoliaceae,2,Monoecious,Temperate to subtropical,,0.5,,,,April to June,,,,,Nov,"birds, animals",,120,10,,Orthodox,,14200/kg,72.93,,,49.45,8.8,,,N,,,,,tolerant,,
Magnolia,virginiana,Magnoliaceae,2,Monoecious,Temperate to subtropical,,,,,,April to July,,several weeks,,insects,Oct,"wind, water, birds",,130,,,Orthodox,,16600/kg,62.3,,,,,,,N,,,,,intermediate,,
Manilkara,bidentata,Sapotaceae,2,Monoecious,Tropical,,,,,,Puerto Rico: May through late Aug,Trinidad: Jan to Feb,,,,,"birds, animals",,400,,,,,1280/kg,1500,,,,,,,Y,3 to 4,,,,tolerant,,
Melaleuca,quinquenervia,Myrtaceae,2,Monoecious,Tropical to subtropical,,,,,,year-round,,,,insects,Jan to Dec,,,,,,Orthodox?,,,0.26,,,,,,"released by fire, frost or damage, falls within a radius of 15 timmes the tree height",N,,,,,intolerant,,
Metrosideros,polymorpha,Myrtaceae,2,,Tropical,,0.75,,,,anytime,,,,bird and insects,,,,,,,Orthodox,,,0.04,,,,,,,N,,,,,intermediate,,
Morus,rubra,Moraceae,2,Dioecious,Temperate,,,,,,April to May,,,,,,"birds, animals",,125,4,,Orthodox,,8600/kg,1.48,,,37.6,25.6,,,Y,2 to 3,,,,tolerant,,
Nyssa,aquatica,Cornaceae,2,Polygamo-dioecious,Temperate to subtropical,,1.2,,,,March to April,,,,wind,Sep to Dec,water,,,30,,Orthodox,cold,990/kg,694.75,,,,,,,N,,,,,intolerant,,
Nyssa,ogeche,Cornaceae,2,Polygamo-dioecious,Temperate to subtropical,,,,,,late March to late May,,,,insect,,"gravity, water, animals",,,3,,Orthodox?,,2710/kg,337.77,,,8.15,5.6,,,N,,,,,intolerant,,
Nyssa,sylvatica var. biflora,Cornaceae,2,Polygamo-dioecious,Temperate,,,,,,April to June,,,,,Sep to Nov,"gravity, birds, animals",,,,,Orthodox?,,,192.44,,,,,,,N,,,,,tolerant,,
Ostrya,virginiana,Betulaceae,2,Monoecious,Temperate,,,,,,Southeast: late March to mid-April,North: mid-May to mid-June,,,wind,Oct to Dec,"wind, birds",,150,25,,Orthodox?,,66000/kg,15.41,,,,,,,,,,,,tolerant,,
Oxydendrum,arboreum,Ericaceae,2,Monoecious,Temperate,,,,,,late June to Aug,,,,insect,Dec to Jan,wind,,200,,,Orthodox?,,,0.17,,,,,,,,,,,,tolerant,,
Paulownia,tomentosa,Scrophulariaceae,2,Monoecious,Temperate,,3,,,,April to May,,,,,Dec to March,wind,,70,8,,Orthodox,,,0.23,,,47.7,28.8,,,,,,,,intolerant,,
Persea,borbonia,Lauraceae,2,Monoecious,Temperate to subtropical,,,,,,spring,,,,insect and wind,,"birds, animals",,,,,,,4630/kg,,,,,,,,N,,,,,tolerant,,
Pithecellobium,saman,Leguminosae,2,Monoecious,Tropical,,,,,,April to Aug,,,,insect,Dec to April,"rodents, birds",,,,N,,mechanical,,164.94,,,,,,,,,,,,intolerant,,
Platanus,occidentalis,Platanaceae,2,Monoecious,Temperate,,10,,,,South: late March,North: May,,,,Feb to May,"wind, water, birds",,600,25,,Orthodox,,441000/kg,2.85,,,6.3,11.6,,,Y,1 to 2,,,,intermediate,,
Populus,balsamifera,Salicaceae,2,Dioecious,Temperate to boreal,,0.1,,,,April to May,,,,wind,May to June,"wind, water",,200,8,,Orthodox,,,0.24,,,,,,,N,,,,,intolerant,,
Populus,deltoides var occidentalis,Salicaceae,2,Dioecious,Temperate,,,,,,Feb to April,,,,wind,April to June,"wind, water",,200,4,,,,,0.08,,,,,,,N,,,,,intolerant,,
Populus,grandidentata,Salicaceae,2,Dioecious,Temperate,,3,,,,southern Ontario and southeastern Michigan: late April,northern Michigan and northern Minnesota: early to mid-May,,,wind,May,wind,,100,10,N,Orthodox,,,0.13,,,,,,,Y,2 to 3,,,,intolerant,,
Populus,heterophylla,Salicaceae,2,Dioecious,Temperate,,0.05,,,,March to May,,,,wind,April to July,"wind, water",,100,10,N,Orthodox,,,3,,,,,,,N,,,,,intolerant,,
Populus,tremuloides,Salicaceae,2,Dioecious,Temperate to boreal,,0.1,,,,New England: mid-March to April,central Rockies: May to June,,,wind,May to June,"wind, water",,200,2,N,Orthodox,,,0.12,,,,,,,Y,4 to 5,,,,intolerant,,
Populus,trichocarpa,Salicaceae,2,Dioecious,Temperate,,0.1,,,,Washington: early march to late May,"British Columbia, Montana: mid-June",,,,late May to mid-July,"wind, water",,200,10,,,,,,,,,,,,N,,,,,intolerant,,
Prosopis,pallida,Leguminosae,2,Monoecious,Tropical,,0.75,,,,Jan to March and Sep to Oct,,,,insect,April and July,animals,animals,,3,Y,,mechanical,,38.69,,,,,,,,,,,,intolerant,,
Prunus,pensylvanica,Rosaceae,2,Monoecious,Temperate,,150,,,,Late March to early July,,,,insect,July to Sep,"gravity, birds, animals",,40,,,,,,43.46,,,,,,,Y,3 to 4,,,,intolerant,,
Prunus,serotina,Rosaceae,2,Monoecious,Temperate,,8,,,,South: late March,North: early June,,,insect,mid-Aug to mid-Sep,"gravity, birds, animals",,250,10,,Orthodox,,,83.9,,,,,,,Y,1 to 5,,,,intolerant,,
Quercus,alba,Fagaceae,2,Monoecious,Temperate,,,,,,spring,,,,,Sep to Oct,"gravity, wind, rodents","insects, animals",500,20,N,Recalcitrant,,,2996.81,,,,,,,Y,4 to 10,,,,intermediate,,
Quercus,bicolor,Fagaceae,2,Monoecious,Temperate,,,,,,May to June,,,,,Sep to Oct,"gravity, water, rodents",,350,20,N,Recalcitrant?,,,3459.14,,,,,,,Y,3 to 5,,,,intermediate,,
Quercus,chrysolepis,Fagaceae,2,Monoecious,Temperate,,,,,,May to June,,,,wind,Oct,"animals, birds",,300,15,,Recalcitrant?,,,3220.26,,,,,,,Y,2 to 4,,,,tolerant,,
Quercus,coccinea,Fagaceae,2,Monoecious,Temperate,,,,,,April or May,,,,,,"rodents, birds",insects,200,20,,Recalcitrant?,,,1931.37,,,,,,,Y,4,,,,intolerant,,
Quercus,douglasii,Fagaceae,2,Monoecious,Temperate,,,,,,late March to mid-May,,,,,mid-Sep to Oct,"bird, mammals",,300,,,Recalcitrant?,,45/kg,4540.46,,,,,,,Y,2 to 3,,,,intolerant,,
Quercus,falcata var. falcata,Fagaceae,2,Monoecious,Temperate,,,,,,April to May,,,,,Sep to Oct,"gravity, rodents",,150,25,Y,,cold,1190/kg,840.99,,,,,,,,,,,,intermediate,,
Quercus,falcata var. pagodifolia,Fagaceae,2,Monoecious,Temperate,,,,,,April to May,,,,,Sep to Oct,"gravity, rodents",,150,25,,Recalcitrant,,,783.03,,,,,,,Y,,,,,intermediate,,
Quercus,garryana,Fagaceae,2,Monoecious,Temperate,,,,,,March to June,,1 week,,,late Aug to Nov,"gravity, animals",,500,,N,Recalcitrant?,,,4369.36,,,,,,,Y,,,,,intermediate,,
Quercus,kelloggii,Fagaceae,2,Monoecious,Temperate,,,,,,mid-March to mid-May,,,,,,,,500,30,,Recalcitrant?,,,4779.8,,,,,,,Y,2 to 3,,,,intolerant,,
Quercus,laevis,Fagaceae,2,Monoecious,Temperate,,,,,,April or late spring,,,,,,"rodents, animals",rodents,,,,Recalcitrant?,,,1149.66,,,,,,,,,,,,intolerant,,
Quercus,laurifolia,Fagaceae,2,Monoecious,Temperate,,,,,,Feb to March,,,,wind,Sep to Oct,"gravity, rodents",,70,15,,Recalcitrant?,,,810.99,,,,,,,Y,3 to 4,,,,tolerant,,
Quercus,lyrata,Fagaceae,2,Monoecious,Temperate,,,,,,April to May,,,,,Sep to Oct,"water, animals",,400,25,Y,Recalcitrant?,cold,308/kg,3243.47,,,,,,,Y,2 to 3,,,,intermediate,,
Quercus,macrocarpa,Fagaceae,2,Monoecious,Temperate,,,,,,south: early April,North: mid-June,,,,Aug to Nov,"gravity, wind, rodents",,300,35,Y,Recalcitrant?,,,6144.8,,,,,,,Y,3 to 5,,,,intermediate,,
Quercus,michauxii,Fagaceae,2,Monoecious,Temperate,,,,,,April to May,,,,,Sep to Oct,"animals, rodents","rodents, animals",200,20,,Recalcitrant?,,,5339.96,,,,,,,Y,,,,,intolerant,,
Quercus,muehlenbergii,Fagaceae,2,Monoecious,Temperate,,,,,,April to late May or early June,,,,,Sep to Oct,"gravity, rodents",,250,,,Recalcitrant?,,,1192.16,,,,,,,Y,,,,,intolerant,,
Quercus,nigra,Fagaceae,2,Monoecious,Temperate,,,,,,,,,,,Sep,"water, animals",,50,20,Y,Recalcitrant,moist,880/kg,1138.91,,,,,,,Y,,,,,intolerant,,
Quercus,nuttallii,Fagaceae,2,Monoecious,Temperate to subtropical,,,,,,March to April,,,,wind,Sep to Feb,"water, rodents, birds",,,20,Y,,cold,,4774.65,,,,,,,Y,3 to 4,,,,intolerant,,
Quercus,palustris,Fagaceae,2,Monoecious,Temperate,,,,,,spring,,,,wind,Sep to early Dec,"rodents, birds",,150,20,Y,Recalcitrant,cold,,1087.15,,,,,,,Y,3 to 4,,,,intolerant,,
Quercus,phellos,Fagaceae,2,Monoecious,Temperate,,,,,,Feb to May,,,,,Aug to Oct,"water, animals",,150,20,Y,Recalcitrant?,cold,,893.36,,,,,,,N,,,,,intolerant,,
Quercus,prinus,Fagaceae,2,Monoecious,Temperate,,,,,,spring,,,,wind,early Sep to early Oct,,,400,20,,,,,,,,,,,,N,,,,,intermediate,,
Quercus,rubra,Fagaceae,2,Monoecious,Temperate,,,,,,April or May,,,,,Aug to Oct,"gravity, rodents","insects, rodents, birds, animals",400,25,,Recalcitrant,,,3143.26,,,,,,,Y,2 to 5,,,,intermediate,,
Quercus,shumardii,Fagaceae,2,Monoecious,Temperate,,,,,,March or April,,,,,Sep to Oct,"animals, birds","rodents, birds, animals",,25,,Recalcitrant?,,,4540.46,,,,,,,Y,2 to 3,,,,intolerant,,
Quercus,stellata,Fagaceae,2,Monoecious,Temperate,,,,,,South: March,North: May,,,,Sep to Nov,,,450,25,,,,,1194.83,,,,,,,Y,2 to 3,,,,intolerant,,
Quercus,velutina,Fagaceae,2,Monoecious,Temperate,,,,,,April or May,,,,,Aug to Oct,"gravity, rodents, birds","insects, birds, animals",200,20,,Recalcitrant,,,1852.46,,,,,,,Y,2 to 3,,,,intermediate,,
Quercus,virginiana,Fagaceae,2,Monoecious,Temperate to subtropical,,1,,,,March to May,,,,,Dec,"gravity, animals",,300,,,Recalcitrant?,,,1238.87,,,,,,,N,,,,,intermediate,,
Robinia,pseudoacacia,Leguminosae,2,Monoecious,Temperate,,50,,,,May or June,,,,insect,Sep to April,,,100,6,Y,Orthodox,mechanical,52900/kg,19.25,,,10.8,43.2,,,,,,,,intolerant,,
Sabal,palmetto,Palmae,2,Monoecious,Tropical to subtropical,,2.7,,,,south florida: april to aug,North Carolina: mid-July,4-6 weeks,,insect,,"water, animals",insects,,,,Orthodox,,,313.95,,,,,,,,,,,,tolerant,,
Salix,nigra,Salicaceae,2,Dioecious,Temperate,,,,,,,,,,insect and wind,,"wind, water",,100,10,,,,,0.06,,,,,,,N,,,,,intolerant,,
Sassafras,albidum,Lauraceae,2,Dioecious,Temperate,,,,,,March to April,,,,,Aug to Sep,"water, animals, birds",,,10,Y,Orthodox?,cold,,78.53,,,,,,,Y,1 to 2,,,,intolerant,,
Tabebuia,heterophylla,Bignoniaceae,2,,Tropical,,0.5,,,,Spring,,,,,July to Sep,wind,,,,N,Orthodox?,,70000/kg,8.92,,,,,,,,,,,,intolerant,,
Tilia,americana,Tiliaceae,2,Monoecious,Temperate,,3,,,,June,,,,insect,Sep to Oct,"gravity, wind, animals",,200,15,,Orthodox,,,108.14,,,,,,,,,,,,tolerant,,
Tilia,heterophylla,Tiliaceae,2,,Temperate,,,,,,late June to early July,,,,insect,Dec to March,wind,,,,Y,,,,,,,,,,,,,,,,tolerant,,
Ulmus,alata,Ulmaceae,2,,Temperate,,,,,,March to April,,,,,April,"wind, water","birds, animals",100,,,Orthodox?,,,4,,,,,,,,,,,,intolerant,,
Ulmus,americana,Ulmaceae,2,Monoecious,Temperate,,15,,,,spring,,,,wind,mid-March or mid-June,wind,animals,400,15,,Orthodox,,156000/kg,5.04,,,25.6,,,,N,,,,,intermediate,,
Ulmus,crassifolia,Ulmaceae,2,,Temperate,,,,,,Aug to Sep,,,,,Sep to Oct,wind,,100,,Y,Orthodox?,cold,,6.27,,,,,,,,,,,,intermediate,,
Ulmus,rubra,Ulmaceae,2,Monoecious,Temperate,,,,,,Feb to May,,,,,April to June,"gravity, wind",,200,15,Y,Orthodox?,,,9.98,,,,,,,Y,2 to 4,,,,tolerant,,
Ulmus,serotina,Ulmaceae,2,,Temperate,,,,,,Sep,,,,wind,late Oct to early Nov,"gravity, wind",,,,Y,Orthodox?,cold,,3.01,,,,,,,Y,2 to 3,,,,tolerant,,
Ulmus,thomasii,Ulmaceae,2,,Temperate,,,,,,March to May,,,,wind,May to June,"wind, water, animals",,300,20,,Orthodox?,,,60.5,,,,,,,Y,3 to 4,,,,tolerant,,
Umbellularia,californica,Lauraceae,2,Monoecious,Temperate,,,,,,,,,,insect,,"gravity, wind, water, animals",,200,30 to 40,Y,,,,1801.29,,,,,,,N,,,,,tolerant,,
